,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 04, 2013",0.005874,0.005927,0.005874,0.005882,0.0,45983576.0
1,"Aug 05, 2013",0.005875,0.00598,0.005613,0.005613,0.0,43879156.0
2,"Aug 06, 2013",0.005637,0.005661,0.004629,0.00468,0.0,36591010.0
3,"Aug 07, 2013",0.004669,0.004682,0.004333,0.004417,0.0,34534120.0
4,"Aug 08, 2013",0.004397,0.004424,0.004175,0.004254,0.0,33258632.0
5,"Aug 09, 2013",0.004257,0.004367,0.004253,0.004291,0.0,33547504.0
6,"Aug 10, 2013",0.004291,0.004366,0.004279,0.004314,0.0,33724970.0
7,"Aug 11, 2013",0.004314,0.004421,0.0043,0.004415,0.0,34518484.0
8,"Aug 12, 2013",0.004414,0.00452,0.004359,0.004449,0.0,34778196.0
9,"Aug 13, 2013",0.004463,0.004463,0.004171,0.004245,0.0,33190304.0
10,"Aug 14, 2013",0.004267,0.004267,0.003785,0.003788,0.0,29617450.0
11,"Aug 15, 2013",0.003788,0.003804,0.003067,0.003092,0.0,24172680.0
12,"Aug 16, 2013",0.003082,0.003162,0.002875,0.003134,0.0,24497514.0
13,"Aug 17, 2013",0.003138,0.005683,0.003138,0.005671,0.0,44335332.0
14,"Aug 18, 2013",0.005687,0.006263,0.005585,0.005617,0.0,43916530.0
15,"Aug 19, 2013",0.005587,0.005839,0.005223,0.00526,0.0,41125304.0
16,"Aug 20, 2013",0.005376,0.006158,0.005309,0.006098,0.0,47673884.0
17,"Aug 21, 2013",0.006098,0.006349,0.00595,0.006131,0.0,47928744.0
18,"Aug 22, 2013",0.006131,0.006138,0.005143,0.005143,0.0,40205216.0
19,"Aug 23, 2013",0.005179,0.005232,0.004919,0.005139,0.0,40172930.0
20,"Aug 24, 2013",0.005139,0.005603,0.005126,0.005546,0.0,43357940.0
21,"Aug 25, 2013",0.005526,0.006148,0.005519,0.006104,0.0,47719540.0
22,"Aug 26, 2013",0.006104,0.006507,0.006065,0.006417,0.0,50166772.0
23,"Aug 27, 2013",0.006468,0.006936,0.006373,0.006452,0.0,50441336.0
24,"Aug 28, 2013",0.006451,0.006463,0.006066,0.006246,0.0,48830304.0
25,"Aug 29, 2013",0.006246,0.006246,0.005756,0.005763,0.0,45051372.0
26,"Aug 30, 2013",0.00576,0.006264,0.00561,0.00593,0.0,46362744.0
27,"Aug 31, 2013",0.005913,0.006081,0.005576,0.005632,0.0,44028636.0
28,"Sep 01, 2013",0.005623,0.005872,0.005574,0.005787,0.0,45239784.0
29,"Sep 02, 2013",0.005799,0.006115,0.005507,0.005528,0.0,43216200.0
30,"Sep 03, 2013",0.005518,0.005693,0.005405,0.00567,0.0,44326104.0
31,"Sep 04, 2013",0.00566,0.006276,0.005507,0.005695,0.0,44522804.0
32,"Sep 05, 2013",0.005696,0.005991,0.005474,0.005715,0.0,44677290.0
33,"Sep 06, 2013",0.005717,0.006151,0.005627,0.005866,0.0,45856304.0
34,"Sep 07, 2013",0.005853,0.00627,0.005832,0.006173,0.0,48259600.0
35,"Sep 08, 2013",0.006172,0.006304,0.00612,0.006183,0.0,48338324.0
36,"Sep 09, 2013",0.006193,0.006552,0.006079,0.00627,0.0,49018250.0
37,"Sep 10, 2013",0.006278,0.006332,0.005807,0.005808,0.0,45404896.0
38,"Sep 11, 2013",0.005807,0.006393,0.005698,0.006273,0.0,49043420.0
39,"Sep 12, 2013",0.006287,0.006442,0.006008,0.006349,0.0,49632890.0
40,"Sep 13, 2013",0.006334,0.00672,0.006316,0.006513,0.0,50918776.0
41,"Sep 14, 2013",0.006515,0.00655,0.006288,0.00634,0.0,49564170.0
42,"Sep 15, 2013",0.006349,0.006516,0.006349,0.006472,0.0,50595584.0
43,"Sep 16, 2013",0.006496,0.00708,0.006244,0.007056,0.0,55164280.0
44,"Sep 17, 2013",0.007086,0.009658,0.007058,0.009613,0.0,75152824.0
45,"Sep 18, 2013",0.009617,0.010871,0.009595,0.010782,0.0,84291704.0
46,"Sep 19, 2013",0.010774,0.011151,0.010774,0.010958,0.0,85666870.0
47,"Sep 20, 2013",0.010962,0.011142,0.010084,0.010113,0.0,79063100.0
48,"Sep 21, 2013",0.010106,0.010123,0.009643,0.0097,0.0,75835640.0
49,"Sep 22, 2013",0.009734,0.010552,0.009689,0.010406,0.0,81353740.0
50,"Sep 23, 2013",0.010395,0.010698,0.009995,0.010008,0.0,78239096.0
51,"Sep 24, 2013",0.010016,0.010467,0.010009,0.010448,0.0,81684440.0
52,"Sep 25, 2013",0.010459,0.010728,0.010433,0.010433,0.0,81563260.0
53,"Sep 26, 2013",0.010432,0.012094,0.010432,0.011713,0.0,91574070.0
54,"Sep 27, 2013",0.011765,0.014674,0.011765,0.014566,0.0,113875384.0
55,"Sep 28, 2013",0.014966,0.014966,0.013781,0.013835,0.0,108162070.0
56,"Sep 29, 2013",0.013847,0.014253,0.012857,0.012868,0.0,100599040.0
57,"Sep 30, 2013",0.01285,0.01285,0.010543,0.010932,0.0,85467520.0
58,"Oct 01, 2013",0.010906,0.012447,0.010517,0.010529,0.0,82312216.0
59,"Oct 02, 2013",0.010518,0.010518,0.007146,0.007862,0.0,61466360.0
60,"Oct 03, 2013",0.007779,0.009112,0.007707,0.009112,0.0,71234190.0
61,"Oct 04, 2013",0.008922,0.010012,0.008922,0.009873,0.0,77187120.0
62,"Oct 05, 2013",0.009676,0.00975,0.00912,0.009488,0.0,74176060.0
63,"Oct 06, 2013",0.009474,0.010599,0.009474,0.009819,0.0,76764410.0
64,"Oct 07, 2013",0.009669,0.009669,0.009197,0.00924,0.0,72233940.0
65,"Oct 08, 2013",0.009225,0.009749,0.009114,0.009451,0.0,73884456.0
66,"Oct 09, 2013",0.009439,0.009747,0.009391,0.009663,0.0,75545290.0
67,"Oct 10, 2013",0.009662,0.010115,0.009622,0.009861,0.0,77089630.0
68,"Oct 11, 2013",0.009884,0.009893,0.008917,0.00897,0.0,70127096.0
69,"Oct 12, 2013",0.008912,0.009408,0.008485,0.009382,0.0,73347830.0
70,"Oct 13, 2013",0.009382,0.00941,0.008184,0.008412,0.0,65761508.0
71,"Oct 14, 2013",0.008485,0.00876,0.008401,0.008489,0.0,66366536.0
72,"Oct 15, 2013",0.008504,0.008504,0.007935,0.008051,0.0,62941908.0
73,"Oct 16, 2013",0.008068,0.008131,0.007177,0.007305,0.0,57107730.0
74,"Oct 17, 2013",0.007298,0.008415,0.007287,0.008343,0.0,65224108.0
75,"Oct 18, 2013",0.00835,0.008432,0.007646,0.007942,0.0,62093356.0
76,"Oct 19, 2013",0.00794,0.008024,0.006779,0.007252,0.0,56694710.0
77,"Oct 20, 2013",0.00722,0.00757,0.006583,0.0067,0.0,52377124.0
78,"Oct 21, 2013",0.006707,0.006932,0.006614,0.006634,0.0,51865990.0
79,"Oct 22, 2013",0.00665,0.006954,0.006527,0.006845,0.0,53516424.0
80,"Oct 23, 2013",0.006829,0.007873,0.006795,0.007873,0.0,61551184.0
81,"Oct 24, 2013",0.007906,0.008813,0.006501,0.008596,0.0,67201720.0
82,"Oct 25, 2013",0.00857,0.008746,0.006506,0.00686,0.0,53632210.0
83,"Oct 26, 2013",0.006888,0.006888,0.00599,0.006064,0.0,47410890.0
84,"Oct 27, 2013",0.00604,0.006842,0.00604,0.006842,0.0,53493210.0
85,"Oct 28, 2013",0.006834,0.006834,0.005942,0.005942,0.0,46453824.0
86,"Oct 29, 2013",0.005942,0.006,0.005811,0.005998,0.0,46892410.0
87,"Oct 30, 2013",0.006014,0.006209,0.005797,0.005854,0.0,45768350.0
88,"Oct 31, 2013",0.005853,0.006093,0.005823,0.006073,0.0,47476950.0
