,Date,Open,High,Low,Close,Volume,Market Cap
0,"Sep 09, 2016",0.181483,0.558951,0.181357,0.558478,1349.0,0.0
1,"Sep 10, 2016",0.558536,0.559143,0.37096,0.391001,811.0,0.0
2,"Sep 11, 2016",0.390948,0.398459,0.37279,0.37615,879.0,0.0
3,"Sep 12, 2016",0.376312,0.376671,0.360443,0.374598,1116.0,0.0
4,"Sep 13, 2016",0.374469,0.375092,0.301766,0.309509,3337.0,0.0
5,"Sep 14, 2016",0.309516,0.337779,0.306223,0.325127,4129.0,0.0
6,"Sep 15, 2016",0.325188,0.365124,0.325024,0.349832,1982.0,0.0
7,"Sep 16, 2016",0.349726,0.389464,0.348948,0.388858,15105.0,0.0
8,"Sep 17, 2016",0.388924,0.427314,0.388896,0.426568,21060.0,0.0
9,"Sep 18, 2016",0.426591,0.427137,0.384916,0.384916,105159.0,0.0
10,"Sep 19, 2016",0.384877,0.384881,0.331207,0.331296,1448.0,0.0
11,"Sep 20, 2016",0.331291,0.336507,0.309502,0.312621,1171.0,0.0
12,"Sep 21, 2016",0.312539,0.318675,0.303564,0.303794,156.0,0.0
13,"Sep 22, 2016",0.303806,0.308768,0.252592,0.252723,54002.0,0.0
14,"Sep 23, 2016",0.252745,0.277371,0.241462,0.243237,16845.0,0.0
15,"Sep 24, 2016",0.243321,0.25485,0.213843,0.213843,21740.0,0.0
16,"Sep 25, 2016",0.213843,0.224547,0.192797,0.198994,3075.0,0.0
17,"Sep 26, 2016",0.199118,0.224506,0.193879,0.202491,9657.0,0.0
18,"Sep 27, 2016",0.202473,0.202473,0.179976,0.197913,19806.0,0.0
19,"Sep 28, 2016",0.197915,0.21275,0.184495,0.194798,6354.0,0.0
20,"Sep 29, 2016",0.194845,0.208155,0.175516,0.191738,11050.0,0.0
21,"Sep 30, 2016",0.191685,0.194601,0.180176,0.184939,2032.0,0.0
22,"Oct 01, 2016",0.184979,0.216455,0.184979,0.202293,2748.0,0.0
23,"Oct 02, 2016",0.202302,0.202303,0.177092,0.177279,4178.0,0.0
24,"Oct 03, 2016",0.177613,0.192425,0.177613,0.178713,913.0,0.0
25,"Oct 04, 2016",0.178659,0.185843,0.178659,0.185843,506.0,0.0
26,"Oct 05, 2016",0.185765,0.289548,0.179917,0.289392,1864.0,0.0
27,"Oct 06, 2016",0.289361,0.291334,0.180059,0.180059,2612.0,0.0
28,"Oct 07, 2016",0.179898,0.20284,0.179898,0.20284,5785.0,0.0
29,"Oct 08, 2016",0.202812,0.223037,0.185864,0.205229,31830.0,0.0
30,"Oct 09, 2016",0.205045,0.205045,0.178857,0.186541,30052.0,0.0
31,"Oct 10, 2016",0.186466,0.202517,0.180081,0.193108,11204.0,0.0
32,"Oct 11, 2016",0.193114,0.195352,0.181615,0.193575,5949.0,0.0
33,"Oct 12, 2016",0.193611,0.193611,0.175684,0.186052,12201.0,0.0
34,"Oct 13, 2016",0.186072,0.186072,0.175498,0.185407,1318.0,0.0
35,"Oct 14, 2016",0.1854,0.19109,0.176211,0.191014,2335.0,0.0
36,"Oct 15, 2016",0.191007,0.191007,0.179885,0.179885,596.0,0.0
37,"Oct 16, 2016",0.179883,0.19069,0.175885,0.175901,16019.0,0.0
38,"Oct 17, 2016",0.175871,0.192747,0.175284,0.192747,12989.0,0.0
39,"Oct 18, 2016",0.192736,0.289527,0.179325,0.19744,406917.0,0.0
40,"Oct 19, 2016",0.197446,0.205554,0.111325,0.117084,228476.0,0.0
41,"Oct 20, 2016",0.117083,0.117172,0.085342,0.092682,286750.0,0.0
42,"Oct 21, 2016",0.092487,0.093918,0.072287,0.080181,269793.0,0.0
43,"Oct 22, 2016",0.080197,0.096001,0.080013,0.081484,293121.0,0.0
44,"Oct 23, 2016",0.081487,0.085212,0.076681,0.082727,107073.0,0.0
45,"Oct 24, 2016",0.081,0.100103,0.076476,0.093762,522611.0,0.0
46,"Oct 25, 2016",0.093621,0.322439,0.092699,0.135712,365986.0,6785600.0
47,"Oct 26, 2016",0.1357,0.16963,0.121312,0.129615,494772.0,6480750.0
48,"Oct 27, 2016",0.129608,0.140409,0.124055,0.127426,169528.0,6371300.0
